date,temple_id,temple_name,visitor_count,occupancy_percentage,crowd_level,day_of_week,is_weekend,is_holiday,festival_name,is_festival,weather,temperature,season,hourly_distribution,factors
2022-01-01,1,Somnath Temple,5476,100,high,Saturday,True,False,None,False,Cloudy,30,Winter,"{'4-6 AM': 657, '6-9 AM': -273, '9-12 PM': 1095, '12-4 PM': 438, '4-7 PM': 2190, '7-10 PM': 1369}","{'seasonal': 1.3, 'weekday': 1.4, 'festival': 1.0, 'weather': 0.95, 'holiday': 1.0, 'growth': 1.0}"
2022-01-02,1,Somnath Temple,5660,100,high,Sunday,True,False,None,False,Cloudy,26,Winter,"{'4-6 AM': 679, '6-9 AM': -282, '9-12 PM': 1132, '12-4 PM': 452, '4-7 PM': 2264, '7-10 PM': 1415}","{'seasonal': 1.3, 'weekday': 1.4, 'festival': 1.0, 'weather': 0.95, 'holiday': 1.0, 'growth': 1.0}"
2022-01-03,1,Somnath Temple,5339,100,high,Monday,False,False,None,False,Cloudy,25,Winter,"{'4-6 AM': 640, '6-9 AM': -264, '9-12 PM': 1067, '12-4 PM': 427, '4-7 PM': 2135, '7-10 PM': 1334}","{'seasonal': 1.3, 'weekday': 1.3, 'festival': 1.0, 'weather': 0.95, 'holiday': 1.0, 'growth': 1.0}"
2022-01-04,1,Somnath Temple,1776,33,low,Tuesday,False,False,None,False,Heavy Rain,36,Winter,"{'4-6 AM': 213, '6-9 AM': -88, '9-12 PM': 355, '12-4 PM': 142, '4-7 PM': 710, '7-10 PM': 444}","{'seasonal': 1.3, 'weekday': 0.85, 'festival': 1.0, 'weather': 0.5, 'holiday': 1.0, 'growth': 1.0}"
2022-01-05,1,Somnath Temple,2927,55,moderate,Wednesday,False,False,None,False,Light Rain,27,Winter,"{'4-6 AM': 351, '6-9 AM': -144, '9-12 PM': 585, '12-4 PM': 234, '4-7 PM': 1170, '7-10 PM': 731}","{'seasonal': 1.3, 'weekday': 0.85, 'festival': 1.0, 'weather': 0.8, 'holiday': 1.0, 'growth': 1.0}"
2022-01-06,1,Somnath Temple,3572,68,moderate,Thursday,False,False,None,False,Sunny,34,Winter,"{'4-6 AM': 428, '6-9 AM': -176, '9-12 PM': 714, '12-4 PM': 285, '4-7 PM': 1428, '7-10 PM': 893}","{'seasonal': 1.3, 'weekday': 0.85, 'festival': 1.0, 'weather': 1.0, 'holiday': 1.0, 'growth': 1.0}"
2022-01-07,1,Somnath Temple,4459,84,high,Friday,False,False,None,False,Light Rain,27,Winter,"{'4-6 AM': 535, '6-9 AM': -220, '9-12 PM': 891, '12-4 PM': 356, '4-7 PM': 1783, '7-10 PM': 1114}","{'seasonal': 1.3, 'weekday': 1.2, 'festival': 1.0, 'weather': 0.8, 'holiday': 1.0, 'growth': 1.0}"
2022-01-08,1,Somnath Temple,6217,100,high,Saturday,True,False,None,False,Sunny,35,Winter,"{'4-6 AM': 746, '6-9 AM': -309, '9-12 PM': 1243, '12-4 PM': 497, '4-7 PM': 2486, '7-10 PM': 1554}","{'seasonal': 1.3, 'weekday': 1.4, 'festival': 1.0, 'weather': 1.0, 'holiday': 1.0, 'growth': 1.0}"
2022-01-09,1,Somnath Temple,4982,94,high,Sunday,True,False,None,False,Light Rain,24,Winter,"{'4-6 AM': 597, '6-9 AM': -246, '9-12 PM': 996, '12-4 PM': 398, '4-7 PM': 1992, '7-10 PM': 1245}","{'seasonal': 1.3, 'weekday': 1.4, 'festival': 1.0, 'weather': 0.8, 'holiday': 1.0, 'growth': 1.0}"
2022-01-10,1,Somnath Temple,5396,100,high,Monday,False,False,None,False,Cloudy,29,Winter,"{'4-6 AM': 647, '6-9 AM': -268, '9-12 PM': 1079, '12-4 PM': 431, '4-7 PM': 2158, '7-10 PM': 1349}","{'seasonal': 1.3, 'weekday': 1.3, 'festival': 1.0, 'weather': 0.95, 'holiday': 1.0, 'growth': 1.0}"
2022-01-11,1,Somnath Temple,4247,80,high,Tuesday,False,False,None,False,Partly Cloudy,27,Winter,"{'4-6 AM': 509, '6-9 AM': -209, '9-12 PM': 849, '12-4 PM': 339, '4-7 PM': 1698, '7-10 PM': 1061}","{'seasonal': 1.3, 'weekday': 0.85, 'festival': 1.0, 'weather': 1.05, 'holiday': 1.0, 'growth': 1.0}"
2022-01-12,1,Somnath Temple,3804,72,moderate,Wednesday,False,False,None,False,Partly Cloudy,37,Winter,"{'4-6 AM': 456, '6-9 AM': -188, '9-12 PM': 760, '12-4 PM': 304, '4-7 PM': 1521, '7-10 PM': 951}","{'seasonal': 1.3, 'weekday': 0.85, 'festival': 1.0, 'weather': 1.05, 'holiday': 1.0, 'growth': 1.0}"
2022-01-13,1,Somnath Temple,3907,74,moderate,Thursday,False,False,None,False,Sunny,22,Winter,"{'4-6 AM': 468, '6-9 AM': -192, '9-12 PM': 781, '12-4 PM': 312, '4-7 PM': 1562, '7-10 PM': 976}","{'seasonal': 1.3, 'weekday': 0.85, 'festival': 1.0, 'weather': 1.0, 'holiday': 1.0, 'growth': 1.0}"
2022-01-14,1,Somnath Temple,5271,100,high,Friday,False,False,None,False,Sunny,34,Winter,"{'4-6 AM': 632, '6-9 AM': -261, '9-12 PM': 1054, '12-4 PM': 421, '4-7 PM': 2108, '7-10 PM': 1317}","{'seasonal': 1.3, 'weekday': 1.2, 'festival': 1.0, 'weather': 1.0, 'holiday': 1.0, 'growth': 1.0}"
2022-01-15,1,Somnath Temple,6476,100,high,Saturday,True,False,None,False,Cloudy,33,Winter,"{'4-6 AM': 777, '6-9 AM': -323, '9-12 PM': 1295, '12-4 PM': 518, '4-7 PM': 2590, '7-10 PM': 1619}","{'seasonal': 1.3, 'weekday': 1.4, 'festival': 1.0, 'weather': 0.95, 'holiday': 1.0, 'growth': 1.0}"
2022-01-16,1,Somnath Temple,6380,100,high,Sunday,True,False,None,False,Cloudy,32,Winter,"{'4-6 AM': 765, '6-9 AM': -318, '9-12 PM': 1276, '12-4 PM': 510, '4-7 PM': 2552, '7-10 PM': 1595}","{'seasonal': 1.3, 'weekday': 1.4, 'festival': 1.0, 'weather': 0.95, 'holiday': 1.0, 'growth': 1.0}"
2022-01-17,1,Somnath Temple,6533,100,high,Monday,False,False,None,False,Partly Cloudy,36,Winter,"{'4-6 AM': 783, '6-9 AM': -324, '9-12 PM': 1306, '12-4 PM': 522, '4-7 PM': 2613, '7-10 PM': 1633}","{'seasonal': 1.3, 'weekday': 1.3, 'festival': 1.0, 'weather': 1.05, 'holiday': 1.0, 'growth': 1.0}"
2022-01-18,1,Somnath Temple,3598,68,moderate,Tuesday,False,False,None,False,Cloudy,29,Winter,"{'4-6 AM': 431, '6-9 AM': -177, '9-12 PM': 719, '12-4 PM': 287, '4-7 PM': 1439, '7-10 PM': 899}","{'seasonal': 1.3, 'weekday': 0.85, 'festival': 1.0, 'weather': 0.95, 'holiday': 1.0, 'growth': 1.0}"
2022-01-19,1,Somnath Temple,4077,77,high,Wednesday,False,False,None,False,Sunny,24,Winter,"{'4-6 AM': 489, '6-9 AM': -202, '9-12 PM': 815, '12-4 PM': 326, '4-7 PM': 1630, '7-10 PM': 1019}","{'seasonal': 1.3, 'weekday': 0.85, 'festival': 1.0, 'weather': 1.0, 'holiday': 1.0, 'growth': 1.0}"
2022-01-20,1,Somnath Temple,3345,63,moderate,Thursday,False,False,None,False,Cloudy,22,Winter,"{'4-6 AM': 401, '6-9 AM': -166, '9-12 PM': 669, '12-4 PM': 267, '4-7 PM': 1338, '7-10 PM': 836}","{'seasonal': 1.3, 'weekday': 0.85, 'festival': 1.0, 'weather': 0.95, 'holiday': 1.0, 'growth': 1.0}"
2022-01-21,1,Somnath Temple,5293,100,high,Friday,False,False,None,False,Sunny,27,Winter,"{'4-6 AM': 635, '6-9 AM': -263, '9-12 PM': 1058, '12-4 PM': 423, '4-7 PM': 2117, '7-10 PM': 1323}","{'seasonal': 1.3, 'weekday': 1.2, 'festival': 1.0, 'weather': 1.0, 'holiday': 1.0, 'growth': 1.0}"
2022-01-22,1,Somnath Temple,6395,100,high,Saturday,True,False,None,False,Sunny,35,Winter,"{'4-6 AM': 767, '6-9 AM': -318, '9-12 PM': 1279, '12-4 PM': 511, '4-7 PM': 2558, '7-10 PM': 1598}","{'seasonal': 1.3, 'weekday': 1.4, 'festival': 1.0, 'weather': 1.0, 'holiday': 1.0, 'growth': 1.0}"
2022-01-23,1,Somnath Temple,6169,100,high,Sunday,True,False,None,False,Sunny,33,Winter,"{'4-6 AM': 740, '6-9 AM': -306, '9-12 PM': 1233, '12-4 PM': 493, '4-7 PM': 2467, '7-10 PM': 1542}","{'seasonal': 1.3, 'weekday': 1.4, 'festival': 1.0, 'weather': 1.0, 'holiday': 1.0, 'growth': 1.0}"
2022-01-24,1,Somnath Temple,6008,100,high,Monday,False,False,None,False,Sunny,24,Winter,"{'4-6 AM': 720, '6-9 AM': -298, '9-12 PM': 1201, '12-4 PM': 480, '4-7 PM': 2403, '7-10 PM': 1502}","{'seasonal': 1.3, 'weekday': 1.3, 'festival': 1.0, 'weather': 1.0, 'holiday': 1.0, 'growth': 1.01}"
2022-01-25,1,Somnath Temple,3987,75,high,Tuesday,False,False,None,False,Partly Cloudy,29,Winter,"{'4-6 AM': 478, '6-9 AM': -196, '9-12 PM': 797, '12-4 PM': 318, '4-7 PM': 1594, '7-10 PM': 996}","{'seasonal': 1.3, 'weekday': 0.85, 'festival': 1.0, 'weather': 1.05, 'holiday': 1.0, 'growth': 1.01}"
2022-01-26,1,Somnath Temple,6449,100,high,Wednesday,False,True,Republic Day,True,Sunny,25,Winter,"{'4-6 AM': 773, '6-9 AM': -319, '9-12 PM': 1289, '12-4 PM': 515, '4-7 PM': 2579, '7-10 PM': 1612}","{'seasonal': 1.3, 'weekday': 0.85, 'festival': 1.3, 'weather': 1.0, 'holiday': 1.4, 'growth': 1.01}"
2022-01-27,1,Somnath Temple,4148,79,high,Thursday,False,False,None,False,Partly Cloudy,36,Winter,"{'4-6 AM': 497, '6-9 AM': -205, '9-12 PM': 829, '12-4 PM': 331, '4-7 PM': 1659, '7-10 PM': 1037}","{'seasonal': 1.3, 'weekday': 0.85, 'festival': 1.0, 'weather': 1.05, 'holiday': 1.0, 'growth': 1.01}"
